loss,val_loss
0.06624831259250641,0.07326412945985794
0.06009463965892792,0.0425739586353302
0.05856532230973244,0.04416610300540924
0.057644132524728775,0.044024862349033356
0.05721708759665489,0.04184170812368393
0.05681462585926056,0.05833249166607857
0.05655762553215027,0.04502023011445999
0.05610944330692291,0.09283387660980225
0.05524377524852753,0.04898495972156525
0.055140718817710876,0.043707214295864105
0.05511153116822243,0.04476161301136017
0.05474483221769333,0.04319557547569275
0.0543956384062767,0.04799288883805275
0.05439840257167816,0.04476954787969589
0.054136376827955246,0.04338466748595238
0.05387338623404503,0.04280645027756691
0.05402197688817978,0.04375356808304787
0.05335428938269615,0.04010537639260292
0.053311705589294434,0.04290909692645073
0.05298981815576553,0.041313640773296356
0.05276581645011902,0.0421602725982666
0.05259673669934273,0.04796486720442772
0.05251994729042053,0.04166571423411369
0.05212107673287392,0.04225054010748863
0.05208443105220795,0.04242824763059616
0.05166586861014366,0.042276982218027115
0.051288701593875885,0.046925392001867294
0.05121837183833122,0.041641417890787125
0.051007743924856186,0.04101720452308655
0.05050792172551155,0.04771409183740616
0.050443533807992935,0.04114934056997299
0.04981042817234993,0.04162183776497841
0.04937842860817909,0.041181858628988266
0.04892553389072418,0.0454833023250103
0.048568643629550934,0.041034407913684845
0.04842505604028702,0.04300813749432564
0.04801158234477043,0.04174982011318207
0.04774945601820946,0.04186362773180008
0.04717027023434639,0.043197475373744965
0.04679163172841072,0.04293590411543846
0.04637793451547623,0.0427493117749691
0.04604576528072357,0.044107723981142044
0.04559885710477829,0.043230198323726654
0.04514046013355255,0.04369014874100685
0.045157384127378464,0.04490738734602928
0.04458162188529968,0.043078817427158356
0.044146329164505005,0.04410616308450699
0.04373617470264435,0.0429854616522789
0.04362350329756737,0.04707672819495201
0.04315894469618797,0.0444311685860157
